date,open,high,low,close,volume
2019-11-15,142.25045621234943,143.26292726773923,141.6200684054316,143.2438201904297,23485700.0
2019-11-18,143.33934903071773,143.7978168908167,142.298224588267,143.59722900390625,21534000.0
2019-11-19,144.11303300738177,144.54284758159005,143.46352344515628,143.64500427246094,23935700.0
2019-11-20,144.05708071439474,144.56503147061733,142.2840497466058,143.39578247070312,25696800.0
2019-11-21,143.18493819213919,143.56830692382604,142.32238413788195,143.26161193847656,18576100.0
2019-11-22,143.82709269275293,144.04752059446037,142.6290927121337,143.36705017089844,15901800.0
2019-11-25,143.75999961255206,145.0538454586744,143.6833258578759,144.93882751464844,22420900.0
2019-11-26,145.06340970940167,146.07931126538207,145.0250801479025,145.70553588867188,24620100.0
2019-11-27,145.9930382056754,146.15596441112015,145.21673673454805,145.98345947265625,15184400.0
2019-11-29,145.77262965968933,145.96430671359644,144.98673472744179,145.08258056640625,11977300.0
2019-12-02,145.4947142747068,145.51388637109562,142.1499073440834,143.3287353515625,27418400.0
2019-12-03,141.35442862017206,143.21371243274214,140.54936146402176,143.0987091064453,24066000.0
2019-12-04,143.89417101200343,143.93250057626025,142.99327269972636,143.61624145507812,17574700.0
2019-12-05,143.80795009497297,144.0667222385903,143.26165497222814,143.69293212890625,17869100.0
2019-12-06,144.70881611478853,145.55219814043855,144.01876696942395,145.43719482421875,16403500.0
2019-12-09,144.78551643837667,145.8780920150459,144.63216890592557,145.06344604492188,16687400.0
2019-12-10,144.9963199361061,145.57136574752622,144.4883691397614,144.84298706054688,16476100.0
2019-12-11,145.2359194686685,145.55219320156405,144.07626373874058,145.38926696777344,18856600.0
2019-12-12,145.3413369237807,147.0568809098986,144.73755493968,146.86520385742188,24612100.0
2019-12-13,146.63524176980232,148.44661770082112,146.47231547827474,148.10159301757812,23845400.0
2019-12-16,148.6574711872894,149.41460099007014,148.37954153473208,149.05999755859375,24144200.0
2019-12-17,148.98329213907695,149.2324855236482,148.02489204217196,148.25491333007812,25425600.0
2019-12-18,147.88111601875767,149.01202094641314,147.76609807979307,147.9481964111328,24129200.0
2019-12-19,147.5935821561449,149.2899540457825,147.3539821851122,149.23245239257812,24958900.0
2019-12-20,150.80428421388734,151.89685990687525,149.78836767126072,150.86178588867188,53477500.0
2019-12-23,151.54224187232526,151.54224187232526,150.72761043949887,150.86178588867188,17718200.0
2019-12-24,150.92882377667544,151.1492662999422,150.58379920115252,150.83299255371094,8989200.0
2019-12-26,151.00549613269064,152.12682233676236,150.85214862853823,152.06932067871094,14520600.0
2019-12-27,152.81689674011787,152.91274260206094,151.63806868314938,152.3472900390625,18412800.0
2019-12-30,152.37602478687484,152.40477561761756,150.21003137743213,151.0342559814453,16348400.0
